"Date","P/E"
"02-Jan-2007","       21.48"
"03-Jan-2007","       21.57"
"04-Jan-2007","       21.38"
"05-Jan-2007","       21.35"
"08-Jan-2007","       21.08"
"09-Jan-2007","       20.97"
"10-Jan-2007","       20.64"
"11-Jan-2007","       21.04"
"12-Jan-2007","       21.63"
"15-Jan-2007","       21.77"
"16-Jan-2007","       21.67"
"17-Jan-2007","       21.59"
"18-Jan-2007","       21.74"
"19-Jan-2007","       21.43"
"22-Jan-2007","       21.42"
"23-Jan-2007","       20.96"
"24-Jan-2007","       21.07"
"25-Jan-2007","       21.35"
"29-Jan-2007","       20.88"
"31-Jan-2007","       19.85"
"01-Feb-2007","       19.95"
"02-Feb-2007","       20.12"
"05-Feb-2007","       20.27"
"06-Feb-2007","       20.18"
"07-Feb-2007","       20.32"
"08-Feb-2007","       20.31"
"09-Feb-2007","       20.14"
"12-Feb-2007","       19.52"
"13-Feb-2007","       19.45"
"14-Feb-2007","       19.47"
"15-Feb-2007","       19.94"
"19-Feb-2007","       20.02"
"20-Feb-2007","       19.74"
"21-Feb-2007","       19.69"
"22-Feb-2007","       19.42"
"23-Feb-2007","       18.94"
"26-Feb-2007","       18.95"
"27-Feb-2007","       18.72"
"28-Feb-2007","       18.01"
"01-Mar-2007","       18.33"
"02-Mar-2007","       17.92"
"05-Mar-2007","       17.20"
"06-Mar-2007","       17.58"
"07-Mar-2007","       17.44"
"08-Mar-2007","       18.09"
"09-Mar-2007","       17.88"
"12-Mar-2007","       17.96"
"13-Mar-2007","       18.14"
"14-Mar-2007","       17.51"
"15-Mar-2007","       17.53"
"16-Mar-2007","       17.36"
"19-Mar-2007","       17.70"
"20-Mar-2007","       17.79"
"21-Mar-2007","       18.11"
"22-Mar-2007","       18.65"
"23-Mar-2007","       18.58"
"26-Mar-2007","       18.38"
"28-Mar-2007","       18.10"
"29-Mar-2007","       18.29"
"30-Mar-2007","       18.40"
"02-Apr-2007","       17.49"
"03-Apr-2007","       17.77"
"04-Apr-2007","       18.43"
"05-Apr-2007","       18.54"
"09-Apr-2007","       19.00"
"10-Apr-2007","       19.02"
