"Date","P/E"
"01-Jan-2001","        6.53"
"02-Jan-2001","        6.78"
"03-Jan-2001","        6.97"
"04-Jan-2001","        6.91"
"05-Jan-2001","        6.99"
"08-Jan-2001","        6.91"
"09-Jan-2001","        6.87"
"10-Jan-2001","        6.89"
"11-Jan-2001","        6.89"
"12-Jan-2001","        7.01"
"15-Jan-2001","        7.06"
"16-Jan-2001","        7.13"
"17-Jan-2001","        7.06"
"18-Jan-2001","        7.04"
"19-Jan-2001","        7.14"
"22-Jan-2001","        7.17"
"23-Jan-2001","        7.29"
"24-Jan-2001","        7.30"
"25-Jan-2001","        7.49"
"29-Jan-2001","        7.25"
"30-Jan-2001","        7.30"
"31-Jan-2001","        7.31"
"01-Feb-2001","        7.22"
"02-Feb-2001","        7.37"
"05-Feb-2001","        7.54"
"06-Feb-2001","        7.57"
"07-Feb-2001","        7.57"
"08-Feb-2001","        7.87"
"09-Feb-2001","        8.31"
"12-Feb-2001","        8.24"
"13-Feb-2001","        8.01"
"14-Feb-2001","        8.03"
"15-Feb-2001","        8.00"
"16-Feb-2001","        7.61"
"19-Feb-2001","        7.68"
"20-Feb-2001","        7.64"
"21-Feb-2001","        7.71"
"22-Feb-2001","        7.53"
"23-Feb-2001","        7.28"
"26-Feb-2001","        7.28"
"27-Feb-2001","        7.26"
"28-Feb-2001","        7.83"
"01-Mar-2001","        8.33"
"02-Mar-2001","        8.27"
"05-Mar-2001","        8.19"
"07-Mar-2001","        8.11"
"08-Mar-2001","        8.12"
"09-Mar-2001","        7.91"
"12-Mar-2001","        7.54"
"13-Mar-2001","        7.06"
"14-Mar-2001","        7.34"
"15-Mar-2001","        7.46"
"16-Mar-2001","        7.21"
"19-Mar-2001","        7.22"
"20-Mar-2001","        7.15"
"21-Mar-2001","        7.25"
"22-Mar-2001","        7.05"
"23-Mar-2001","        6.93"
"26-Mar-2001","        6.89"
"27-Mar-2001","        6.86"
"28-Mar-2001","        6.94"
"29-Mar-2001","        6.95"
"30-Mar-2001","        6.62"
"02-Apr-2001","        7.24"
"03-Apr-2001","        7.31"
"04-Apr-2001","        7.31"
"06-Apr-2001","        7.30"
"09-Apr-2001","        7.35"
"10-Apr-2001","        7.26"
"11-Apr-2001","        7.37"
"12-Apr-2001","        7.26"
"16-Apr-2001","        7.43"
"17-Apr-2001","        7.67"
"18-Apr-2001","        7.86"
"19-Apr-2001","        7.92"
"20-Apr-2001","        7.83"
"23-Apr-2001","        7.84"
"24-Apr-2001","        7.82"
"25-Apr-2001","        7.94"
"26-Apr-2001","        7.96"
"27-Apr-2001","        7.63"
"30-Apr-2001","        7.60"
"02-May-2001","        7.75"
"03-May-2001","        7.68"
"04-May-2001","        7.84"
"07-May-2001","        8.02"
"08-May-2001","        8.05"
"09-May-2001","        7.97"
"10-May-2001","        8.23"
"11-May-2001","        8.11"
"14-May-2001","        8.20"
"15-May-2001","        8.14"
"16-May-2001","        8.12"
"17-May-2001","        8.21"
"18-May-2001","        8.12"
"21-May-2001","        8.04"
"22-May-2001","        7.96"
"23-May-2001","        8.01"
"24-May-2001","        8.00"
"25-May-2001","        7.89"
"28-May-2001","        7.98"
"29-May-2001","        8.10"
"30-May-2001","        7.96"
"31-May-2001","        7.92"
"01-Jun-2001","        7.82"
"04-Jun-2001","        7.75"
"05-Jun-2001","        7.64"
"06-Jun-2001","        7.73"
"07-Jun-2001","        7.91"
"08-Jun-2001","        7.94"
"11-Jun-2001","        7.97"
"12-Jun-2001","        7.80"
"13-Jun-2001","        7.89"
"14-Jun-2001","        7.75"
"15-Jun-2001","        7.61"
"18-Jun-2001","        7.49"
"19-Jun-2001","        7.72"
"20-Jun-2001","        7.83"
"21-Jun-2001","        7.87"
"22-Jun-2001","        7.78"
"25-Jun-2001","        7.48"
"26-Jun-2001","        7.58"
"27-Jun-2001","        7.59"
"28-Jun-2001","        7.60"
"29-Jun-2001","        7.55"
"02-Jul-2001","        7.56"
"03-Jul-2001","        7.54"
"04-Jul-2001","        7.59"
"05-Jul-2001","        7.59"
"06-Jul-2001","        7.52"
"09-Jul-2001","        7.49"
"10-Jul-2001","        7.43"
"11-Jul-2001","        7.52"
"12-Jul-2001","        7.70"
"13-Jul-2001","        7.69"
"16-Jul-2001","        7.70"
"17-Jul-2001","        7.65"
"18-Jul-2001","        7.68"
"19-Jul-2001","        7.66"
"20-Jul-2001","        7.54"
"23-Jul-2001","        7.52"
"24-Jul-2001","        7.42"
"25-Jul-2001","        7.38"
"26-Jul-2001","        7.28"
"27-Jul-2001","        7.45"
"30-Jul-2001","        7.40"
"31-Jul-2001","        7.35"
"01-Aug-2001","        7.44"
"02-Aug-2001","        7.44"
"03-Aug-2001","        7.41"
"06-Aug-2001","        7.40"
"07-Aug-2001","        7.38"
"08-Aug-2001","        7.27"
"09-Aug-2001","        7.22"
"10-Aug-2001","        7.30"
"13-Aug-2001","        7.38"
"14-Aug-2001","        7.47"
"16-Aug-2001","        7.41"
"17-Aug-2001","        7.43"
"20-Aug-2001","        7.38"
"21-Aug-2001","        7.31"
"23-Aug-2001","        7.30"
"24-Aug-2001","        7.31"
"27-Aug-2001","        7.56"
"28-Aug-2001","        7.49"
"29-Aug-2001","        7.50"
"30-Aug-2001","        7.44"
"31-Aug-2001","        7.45"
"03-Sep-2001","        7.46"
"04-Sep-2001","        7.36"
"05-Sep-2001","        7.36"
"06-Sep-2001","        7.28"
"07-Sep-2001","        7.24"
"10-Sep-2001","        7.20"
"11-Sep-2001","        7.14"
"12-Sep-2001","        6.86"
"13-Sep-2001","        6.83"
"14-Sep-2001","        6.50"
"17-Sep-2001","        6.00"
"18-Sep-2001","        6.28"
"19-Sep-2001","        6.38"
"20-Sep-2001","        6.24"
"21-Sep-2001","        5.90"
"24-Sep-2001","        5.95"
"25-Sep-2001","        5.98"
"26-Sep-2001","        6.05"
"27-Sep-2001","        6.18"
"28-Sep-2001","        6.33"
"01-Oct-2001","        6.43"
"03-Oct-2001","        6.35"
"04-Oct-2001","        6.41"
"05-Oct-2001","        6.48"
"08-Oct-2001","        6.40"
"09-Oct-2001","        6.45"
"10-Oct-2001","        6.54"
"11-Oct-2001","        6.65"
"12-Oct-2001","        6.81"
"15-Oct-2001","        6.79"
"16-Oct-2001","        6.79"
"17-Oct-2001","        6.85"
"18-Oct-2001","        6.77"
"19-Oct-2001","        6.80"
"22-Oct-2001","        6.89"
"23-Oct-2001","        6.97"
"24-Oct-2001","        7.02"
"25-Oct-2001","        7.02"
"29-Oct-2001","        7.09"
"30-Oct-2001","        6.97"
"31-Oct-2001","        6.95"
"01-Nov-2001","        6.94"
"02-Nov-2001","        7.02"
"05-Nov-2001","        7.11"
"06-Nov-2001","        7.17"
"07-Nov-2001","        7.10"
"08-Nov-2001","        7.08"
"09-Nov-2001","        7.07"
"12-Nov-2001","        7.08"
"13-Nov-2001","        7.08"
"14-Nov-2001","        7.10"
"15-Nov-2001","        7.13"
"19-Nov-2001","        7.14"
"20-Nov-2001","        7.23"
"21-Nov-2001","        7.16"
"22-Nov-2001","        7.21"
"23-Nov-2001","        7.20"
"26-Nov-2001","        7.30"
