"Date","P/E"
"01-Jan-2019","       48.88"
"02-Jan-2019","       48.65"
"03-Jan-2019","       48.00"
"04-Jan-2019","       48.37"
"07-Jan-2019","       48.06"
"08-Jan-2019","       48.79"
"09-Jan-2019","       49.02"
"10-Jan-2019","       49.17"
"11-Jan-2019","       49.00"
"14-Jan-2019","       49.25"
"15-Jan-2019","       49.68"
"16-Jan-2019","       49.83"
"17-Jan-2019","       49.15"
"18-Jan-2019","       47.82"
"21-Jan-2019","       48.07"
"22-Jan-2019","       48.94"
"23-Jan-2019","       49.24"
"24-Jan-2019","       48.95"
"25-Jan-2019","       48.93"
"28-Jan-2019","       47.68"
"29-Jan-2019","       47.88"
"30-Jan-2019","       47.75"
"31-Jan-2019","       48.25"
"01-Feb-2019","       49.04"
"04-Feb-2019","       48.18"
"05-Feb-2019","       48.11"
"06-Feb-2019","       48.70"
"07-Feb-2019","       49.51"
"08-Feb-2019","       49.12"
"11-Feb-2019","       48.32"
"12-Feb-2019","       49.54"
"13-Feb-2019","       50.18"
"14-Feb-2019","       50.64"
"15-Feb-2019","       49.06"
"18-Feb-2019","       48.67"
"19-Feb-2019","       47.73"
"20-Feb-2019","       47.78"
"21-Feb-2019","       48.73"
"22-Feb-2019","       49.10"
"25-Feb-2019","       49.35"
"26-Feb-2019","       49.57"
"27-Feb-2019","       49.78"
"28-Feb-2019","       49.88"
"01-Mar-2019","       50.37"
"05-Mar-2019","       50.83"
"06-Mar-2019","       51.40"
"07-Mar-2019","       50.78"
"08-Mar-2019","       50.65"
"11-Mar-2019","       51.40"
"12-Mar-2019","       52.07"
"13-Mar-2019","       51.09"
"14-Mar-2019","       51.57"
"15-Mar-2019","       51.77"
"18-Mar-2019","       51.68"
"19-Mar-2019","       51.90"
"20-Mar-2019","       52.01"
"22-Mar-2019","       51.65"
"25-Mar-2019","       51.48"
"26-Mar-2019","       51.90"
"27-Mar-2019","       51.36"
"28-Mar-2019","       51.65"
"29-Mar-2019","       52.73"
"01-Apr-2019","       52.89"
"02-Apr-2019","       52.45"
"03-Apr-2019","       51.79"
"04-Apr-2019","       52.26"
"05-Apr-2019","       52.31"
"08-Apr-2019","       52.15"
"09-Apr-2019","       52.66"
"10-Apr-2019","       53.08"
"11-Apr-2019","       52.98"
"12-Apr-2019","       53.18"
"15-Apr-2019","       53.13"
"16-Apr-2019","       53.13"
"18-Apr-2019","       53.09"
"22-Apr-2019","       52.39"
"23-Apr-2019","       52.97"
"24-Apr-2019","       53.37"
"25-Apr-2019","       53.27"
"26-Apr-2019","       53.38"
"30-Apr-2019","       53.05"
"02-May-2019","       52.42"
"03-May-2019","       52.02"
"06-May-2019","       51.85"
"07-May-2019","       51.61"
"08-May-2019","       50.80"
"09-May-2019","       50.65"
"10-May-2019","       50.46"
"13-May-2019","       48.26"
"14-May-2019","       48.99"
"15-May-2019","       48.50"
"16-May-2019","       46.97"
"17-May-2019","       46.27"
"20-May-2019","       46.58"
"21-May-2019","       46.49"
"22-May-2019","       46.61"
"23-May-2019","       47.51"
"24-May-2019","       45.52"
"27-May-2019","       44.98"
"28-May-2019","       44.92"
"29-May-2019","       41.22"
"30-May-2019","       41.13"
"31-May-2019","       40.79"
"03-Jun-2019","       41.18"
"04-Jun-2019","       40.68"
"06-Jun-2019","       39.94"
"07-Jun-2019","       39.46"
"10-Jun-2019","       39.78"
"11-Jun-2019","       39.77"
"12-Jun-2019","       39.46"
"13-Jun-2019","       39.31"
"14-Jun-2019","       39.00"
"17-Jun-2019","       38.48"
"18-Jun-2019","       38.19"
"19-Jun-2019","       37.58"
"20-Jun-2019","       38.20"
"21-Jun-2019","       37.64"
"24-Jun-2019","       37.60"
"25-Jun-2019","       37.81"
"26-Jun-2019","       38.47"
"27-Jun-2019","       38.48"
"28-Jun-2019","       38.40"
"01-Jul-2019","       38.94"
"02-Jul-2019","       38.57"
"03-Jul-2019","       38.53"
"04-Jul-2019","       38.31"
"05-Jul-2019","       37.74"
"08-Jul-2019","       37.15"
"09-Jul-2019","       38.15"
"10-Jul-2019","       38.13"
"11-Jul-2019","       38.61"
"12-Jul-2019","       38.78"
"15-Jul-2019","       39.19"
"16-Jul-2019","       39.75"
"17-Jul-2019","       39.66"
"18-Jul-2019","       39.15"
"19-Jul-2019","       38.28"
"22-Jul-2019","       38.66"
"23-Jul-2019","       38.39"
"24-Jul-2019","       37.71"
"25-Jul-2019","       38.54"
"26-Jul-2019","       39.24"
"29-Jul-2019","       38.57"
"30-Jul-2019","       37.79"
"31-Jul-2019","       34.39"
"01-Aug-2019","       33.92"
"02-Aug-2019","       33.88"
"05-Aug-2019","       33.62"
"06-Aug-2019","       33.66"
"07-Aug-2019","       33.93"
"08-Aug-2019","       33.95"
"09-Aug-2019","       32.72"
"13-Aug-2019","       32.73"
"14-Aug-2019","       31.09"
"16-Aug-2019","       31.29"
"19-Aug-2019","       31.53"
"20-Aug-2019","       31.56"
"21-Aug-2019","       31.26"
"22-Aug-2019","       31.24"
"23-Aug-2019","       31.69"
"26-Aug-2019","       31.86"
"27-Aug-2019","       31.81"
"28-Aug-2019","       31.51"
"29-Aug-2019","       32.22"
"30-Aug-2019","       32.87"
