"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jan-2006","-","-","-","     2204.88","        1252908","           59.10"
"03-Jan-2006","-","-","-","     2235.93","        2132288","          121.84"
"04-Jan-2006","-","-","-","     2251.41","        2420230","          133.78"
"05-Jan-2006","-","-","-","     2256.92","        2592826","          122.42"
"06-Jan-2006","-","-","-","     2259.43","        2791591","          132.15"
"09-Jan-2006","-","-","-","     2287.35","        3283056","          156.46"
"10-Jan-2006","-","-","-","     2284.65","        5414453","          225.49"
"12-Jan-2006","-","-","-","     2263.98","        3629674","          159.99"
"13-Jan-2006","-","-","-","     2273.06","        1741486","           87.03"
"16-Jan-2006","-","-","-","     2278.49","        2198900","           98.05"
"17-Jan-2006","-","-","-","     2259.00","        2487169","          104.30"
"18-Jan-2006","-","-","-","     2249.04","        2270845","          105.64"
"19-Jan-2006","-","-","-","     2255.90","        3000540","          131.71"
"20-Jan-2006","-","-","-","     2238.62","        2228592","           89.28"
"23-Jan-2006","-","-","-","     2217.11","        1841457","           73.21"
"24-Jan-2006","-","-","-","     2237.41","        3220240","          145.11"
"25-Jan-2006","-","-","-","     2261.87","        5006199","          243.10"
"27-Jan-2006","-","-","-","     2287.19","        3672221","          175.32"
"30-Jan-2006","-","-","-","     2302.07","        3388160","          178.85"
"31-Jan-2006","-","-","-","     2308.68","        3362810","          162.66"
"01-Feb-2006","-","-","-","     2311.56","        4415445","          282.68"
"02-Feb-2006","-","-","-","     2373.88","        7692887","          407.19"
"03-Feb-2006","-","-","-","     2392.59","        5153962","          270.11"
"06-Feb-2006","-","-","-","     2472.33","        5083976","          279.05"
"07-Feb-2006","-","-","-","     2481.36","        5907137","          295.62"
"08-Feb-2006","-","-","-","     2509.92","        9197701","          484.73"
"10-Feb-2006","-","-","-","     2562.15","        9478547","          498.31"
"13-Feb-2006","-","-","-","     2581.62","        6744012","          358.67"
"14-Feb-2006","-","-","-","     2525.89","        5729395","          295.94"
"15-Feb-2006","-","-","-","     2531.55","        5049631","          262.61"
"16-Feb-2006","-","-","-","     2526.22","        4595814","          316.47"
"17-Feb-2006","-","-","-","     2506.79","        4761727","          295.33"
"20-Feb-2006","-","-","-","     2520.80","        4470574","          300.84"
"21-Feb-2006","-","-","-","     2569.64","        5500209","          335.31"
"22-Feb-2006","-","-","-","     2595.17","        5781262","          347.18"
"23-Feb-2006","-","-","-","     2583.01","        5680798","          359.70"
"24-Feb-2006","-","-","-","     2555.83","        2611331","          149.87"
"27-Feb-2006","-","-","-","     2554.39","        1713247","          104.45"
"28-Feb-2006","-","-","-","     2543.44","        2555852","          129.33"
"01-Mar-2006","-","-","-","     2567.49","        2948513","          176.90"
"02-Mar-2006","-","-","-","     2568.16","        2546346","          138.50"
"03-Mar-2006","-","-","-","     2575.70","        2201658","          124.00"
"06-Mar-2006","-","-","-","     2620.17","        3032329","          185.38"
"07-Mar-2006","-","-","-","     2601.80","        3495564","          205.93"
"08-Mar-2006","-","-","-","     2572.79","        5772867","          353.98"
"09-Mar-2006","-","-","-","     2571.72","        5165897","          301.17"
"10-Mar-2006","-","-","-","     2599.64","        3196015","          201.15"
"13-Mar-2006","-","-","-","     2602.03","        3362713","          200.35"
"14-Mar-2006","-","-","-","     2580.91","        2762802","          168.53"
"16-Mar-2006","-","-","-","     2587.36","        3135314","          167.97"
"17-Mar-2006","-","-","-","     2591.47","        3792216","          188.67"
"20-Mar-2006","-","-","-","     2602.93","        2239105","          122.37"
"21-Mar-2006","-","-","-","     2619.86","        5157636","          276.84"
"22-Mar-2006","-","-","-","     2653.36","        5249581","          340.49"
"23-Mar-2006","-","-","-","     2640.53","        2790777","          182.87"
"24-Mar-2006","-","-","-","     2659.21","        3679990","          214.15"
"27-Mar-2006","-","-","-","     2679.86","        5688960","          320.77"
"28-Mar-2006","-","-","-","     2667.93","        4619776","          252.60"
"29-Mar-2006","-","-","-","     2711.31","        6293285","          342.11"
"30-Mar-2006","-","-","-","     2794.42","       12400000","          630.19"
"31-Mar-2006","-","-","-","     2765.19","        8445371","          443.25"
"03-Apr-2006","-","-","-","     2835.10","        5666704","          310.90"
"04-Apr-2006","-","-","-","     2852.47","        8349778","          458.20"
"05-Apr-2006","-","-","-","     2967.56","       11200000","          684.00"
"07-Apr-2006","-","-","-","     2890.61","        9084135","          603.10"
"10-Apr-2006","-","-","-","     2876.38","        4096295","          287.35"
"12-Apr-2006","-","-","-","     2803.92","        5414356","          344.32"
