"Date","P/E"
"01-Jan-2014","       18.69"
"02-Jan-2014","       18.46"
"03-Jan-2014","       18.43"
"06-Jan-2014","       18.37"
"07-Jan-2014","       18.28"
"08-Jan-2014","       18.32"
"09-Jan-2014","       18.30"
"10-Jan-2014","       18.24"
"13-Jan-2014","       18.55"
"14-Jan-2014","       18.44"
"15-Jan-2014","       18.68"
"16-Jan-2014","       18.63"
"17-Jan-2014","       18.45"
"20-Jan-2014","       18.35"
"21-Jan-2014","       18.38"
"22-Jan-2014","       18.45"
"23-Jan-2014","       18.49"
"24-Jan-2014","       18.25"
"27-Jan-2014","       17.85"
"28-Jan-2014","       17.82"
"29-Jan-2014","       17.79"
"30-Jan-2014","       17.65"
"31-Jan-2014","       17.70"
"03-Feb-2014","       17.34"
"04-Feb-2014","       17.35"
"05-Feb-2014","       17.41"
"06-Feb-2014","       17.16"
"07-Feb-2014","       17.25"
"10-Feb-2014","       17.24"
"11-Feb-2014","       17.26"
"12-Feb-2014","       17.32"
"13-Feb-2014","       17.09"
"14-Feb-2014","       17.22"
"17-Feb-2014","       17.28"
"18-Feb-2014","       17.59"
"19-Feb-2014","       17.59"
"20-Feb-2014","       17.42"
"21-Feb-2014","       17.33"
"24-Feb-2014","       17.42"
"25-Feb-2014","       17.46"
"26-Feb-2014","       17.57"
"28-Feb-2014","       17.67"
"03-Mar-2014","       17.52"
"04-Mar-2014","       17.73"
"05-Mar-2014","       17.82"
"06-Mar-2014","       18.02"
"07-Mar-2014","       18.38"
"10-Mar-2014","       18.41"
"11-Mar-2014","       18.34"
"12-Mar-2014","       18.35"
"13-Mar-2014","       18.28"
"14-Mar-2014","       18.31"
"18-Mar-2014","       18.35"
"19-Mar-2014","       18.38"
"20-Mar-2014","       18.26"
"21-Mar-2014","       18.29"
"22-Mar-2014","       18.29"
"24-Mar-2014","       18.54"
"25-Mar-2014","       18.56"
"26-Mar-2014","       18.59"
"27-Mar-2014","       18.71"
"28-Mar-2014","       18.84"
"31-Mar-2014","       18.86"
"01-Apr-2014","       18.91"
"02-Apr-2014","       19.00"
"03-Apr-2014","       18.95"
"04-Apr-2014","       18.84"
"07-Apr-2014","       18.84"
"09-Apr-2014","       19.12"
"10-Apr-2014","       19.12"
"11-Apr-2014","       19.07"
"15-Apr-2014","       18.95"
"16-Apr-2014","       18.79"
"17-Apr-2014","       19.04"
"21-Apr-2014","       19.14"
"22-Apr-2014","       19.13"
"23-Apr-2014","       19.20"
"25-Apr-2014","       19.04"
"28-Apr-2014","       18.98"
"29-Apr-2014","       18.88"
"30-Apr-2014","       18.79"
"02-May-2014","       18.72"
"05-May-2014","       18.69"
"06-May-2014","       18.74"
"07-May-2014","       18.56"
"08-May-2014","       18.52"
"09-May-2014","       19.10"
"12-May-2014","       19.47"
"13-May-2014","       19.67"
"14-May-2014","       19.67"
"15-May-2014","       19.71"
"16-May-2014","       19.93"
"19-May-2014","       20.15"
"20-May-2014","       20.21"
"21-May-2014","       20.07"
"22-May-2014","       20.14"
"23-May-2014","       20.39"
"26-May-2014","       20.32"
"27-May-2014","       20.21"
"28-May-2014","       20.22"
"29-May-2014","       19.79"
"30-May-2014","       19.82"
"02-Jun-2014","       20.27"
"03-Jun-2014","       20.46"
"04-Jun-2014","       20.42"
"05-Jun-2014","       20.60"
"06-Jun-2014","       20.75"
"09-Jun-2014","       20.85"
"10-Jun-2014","       20.86"
"11-Jun-2014","       20.78"
"12-Jun-2014","       20.84"
"13-Jun-2014","       20.55"
"16-Jun-2014","       20.53"
"17-Jun-2014","       20.76"
"18-Jun-2014","       20.56"
"19-Jun-2014","       20.52"
"20-Jun-2014","       20.38"
"23-Jun-2014","       20.33"
"24-Jun-2014","       20.56"
"25-Jun-2014","       20.53"
"26-Jun-2014","       20.33"
"27-Jun-2014","       20.37"
"30-Jun-2014","       20.65"
"01-Jul-2014","       20.71"
"02-Jul-2014","       20.96"
"03-Jul-2014","       20.93"
"04-Jul-2014","       20.99"
"07-Jul-2014","       21.08"
"08-Jul-2014","       20.64"
"09-Jul-2014","       20.54"
"10-Jul-2014","       20.48"
"11-Jul-2014","       20.12"
"14-Jul-2014","       20.12"
"15-Jul-2014","       20.31"
"16-Jul-2014","       20.57"
"17-Jul-2014","       20.62"
"18-Jul-2014","       20.60"
"21-Jul-2014","       20.58"
"22-Jul-2014","       20.78"
"23-Jul-2014","       20.82"
"24-Jul-2014","       20.92"
"25-Jul-2014","       20.79"
"28-Jul-2014","       20.66"
"30-Jul-2014","       20.78"
"31-Jul-2014","       20.56"
"01-Aug-2014","       20.05"
"04-Aug-2014","       20.26"
"05-Aug-2014","       20.43"
"06-Aug-2014","       20.20"
"07-Aug-2014","       20.14"
"08-Aug-2014","       19.93"
"11-Aug-2014","       20.00"
"12-Aug-2014","       20.26"
"13-Aug-2014","       20.31"
"14-Aug-2014","       20.45"
"18-Aug-2014","       20.57"
"19-Aug-2014","       20.63"
"20-Aug-2014","       20.58"
"21-Aug-2014","       20.63"
"22-Aug-2014","       20.69"
"25-Aug-2014","       20.67"
"26-Aug-2014","       20.67"
"27-Aug-2014","       20.75"
"28-Aug-2014","       20.80"
"01-Sep-2014","       20.99"
"02-Sep-2014","       21.14"
"03-Sep-2014","       21.22"
"04-Sep-2014","       21.17"
"05-Sep-2014","       21.15"
"08-Sep-2014","       21.73"
"09-Sep-2014","       21.68"
"10-Sep-2014","       21.52"
"11-Sep-2014","       21.50"
"12-Sep-2014","       21.55"
"15-Sep-2014","       21.38"
"16-Sep-2014","       21.09"
"17-Sep-2014","       21.21"
"18-Sep-2014","       21.58"
"19-Sep-2014","       21.23"
"22-Sep-2014","       21.30"
"23-Sep-2014","       20.96"
"24-Sep-2014","       20.92"
"25-Sep-2014","       20.68"
"26-Sep-2014","       20.83"
"29-Sep-2014","       20.81"
"30-Sep-2014","       20.82"
"01-Oct-2014","       20.77"
"07-Oct-2014","       20.53"
"08-Oct-2014","       20.50"
"09-Oct-2014","       20.81"
"10-Oct-2014","       20.55"
"13-Oct-2014","       20.47"
"14-Oct-2014","       20.41"
"16-Oct-2014","       20.13"
"17-Oct-2014","       20.21"
"20-Oct-2014","       20.47"
"21-Oct-2014","       20.53"
"22-Oct-2014","       20.65"
"23-Oct-2014","       20.70"
"27-Oct-2014","       20.64"
"28-Oct-2014","       20.75"
"29-Oct-2014","       20.92"
"30-Oct-2014","       21.16"
"31-Oct-2014","       21.58"
"03-Nov-2014","       21.58"
"05-Nov-2014","       21.54"
"07-Nov-2014","       21.31"
"10-Nov-2014","       21.24"
"11-Nov-2014","       21.29"
"12-Nov-2014","       21.33"
"13-Nov-2014","       21.26"
"14-Nov-2014","       21.35"
"17-Nov-2014","       21.45"
"18-Nov-2014","       21.47"
"19-Nov-2014","       21.33"
"20-Nov-2014","       21.51"
"21-Nov-2014","       21.70"
"24-Nov-2014","       21.78"
"25-Nov-2014","       21.61"
"26-Nov-2014","       21.65"
"27-Nov-2014","       21.70"
"28-Nov-2014","       21.94"
"01-Dec-2014","       21.85"
"02-Dec-2014","       21.77"
"03-Dec-2014","       21.81"
"04-Dec-2014","       21.87"
"05-Dec-2014","       21.81"
"08-Dec-2014","       21.56"
"09-Dec-2014","       21.31"
"10-Dec-2014","       21.35"
"11-Dec-2014","       21.19"
"12-Dec-2014","       21.01"
"15-Dec-2014","       21.00"
"16-Dec-2014","       20.61"
"17-Dec-2014","       20.51"
"18-Dec-2014","       20.85"
"19-Dec-2014","       21.01"
"22-Dec-2014","       21.27"
"23-Dec-2014","       21.12"
"24-Dec-2014","       20.88"
"26-Dec-2014","       20.95"
"29-Dec-2014","       21.07"
"30-Dec-2014","       21.07"
