"Date","P/E"
"01-Jan-2016","       17.81"
"04-Jan-2016","       17.35"
"05-Jan-2016","       17.29"
"06-Jan-2016","       17.18"
"07-Jan-2016","       16.80"
"08-Jan-2016","       16.87"
"11-Jan-2016","       16.75"
"12-Jan-2016","       16.45"
"13-Jan-2016","       16.60"
"14-Jan-2016","       16.32"
"15-Jan-2016","       15.90"
"18-Jan-2016","       15.71"
"19-Jan-2016","       15.93"
"20-Jan-2016","       15.58"
"21-Jan-2016","       15.75"
"22-Jan-2016","       16.09"
"25-Jan-2016","       16.15"
"27-Jan-2016","       16.12"
"28-Jan-2016","       15.96"
"29-Jan-2016","       16.11"
"01-Feb-2016","       15.84"
"02-Feb-2016","       15.55"
"03-Feb-2016","       15.31"
"04-Feb-2016","       15.34"
"05-Feb-2016","       15.64"
"08-Feb-2016","       15.53"
"09-Feb-2016","       15.35"
"10-Feb-2016","       15.05"
"11-Feb-2016","       14.58"
"12-Feb-2016","       14.52"
"15-Feb-2016","       16.01"
"16-Feb-2016","       15.70"
"17-Feb-2016","       15.65"
"18-Feb-2016","       15.85"
"19-Feb-2016","       15.90"
"22-Feb-2016","       15.95"
"23-Feb-2016","       15.53"
"24-Feb-2016","       15.29"
"25-Feb-2016","       15.03"
"26-Feb-2016","       15.33"
"29-Feb-2016","       15.50"
"01-Mar-2016","       16.02"
"02-Mar-2016","       16.77"
"03-Mar-2016","       16.87"
"04-Mar-2016","       17.05"
"08-Mar-2016","       16.83"
"09-Mar-2016","       16.98"
"10-Mar-2016","       16.87"
"11-Mar-2016","       16.86"
"14-Mar-2016","       16.98"
"15-Mar-2016","       17.03"
"16-Mar-2016","       17.18"
"17-Mar-2016","       17.16"
"18-Mar-2016","       17.40"
"21-Mar-2016","       17.70"
"22-Mar-2016","       17.71"
"23-Mar-2016","       17.66"
"28-Mar-2016","       17.34"
"29-Mar-2016","       17.41"
"30-Mar-2016","       17.93"
"31-Mar-2016","       17.94"
"01-Apr-2016","       17.98"
"04-Apr-2016","       17.99"
"05-Apr-2016","       17.44"
"06-Apr-2016","       17.38"
"07-Apr-2016","       17.26"
"08-Apr-2016","       17.30"
"11-Apr-2016","       17.58"
"12-Apr-2016","       17.65"
"13-Apr-2016","       18.09"
"18-Apr-2016","       18.03"
"20-Apr-2016","       18.17"
"21-Apr-2016","       18.49"
"22-Apr-2016","       18.56"
"25-Apr-2016","       18.44"
"26-Apr-2016","       18.79"
"27-Apr-2016","       18.66"
"28-Apr-2016","       18.49"
"29-Apr-2016","       18.35"
"02-May-2016","       18.08"
"03-May-2016","       17.91"
"04-May-2016","       17.91"
"05-May-2016","       17.87"
"06-May-2016","       17.88"
"09-May-2016","       18.31"
"10-May-2016","       18.42"
"11-May-2016","       18.38"
"12-May-2016","       18.57"
"13-May-2016","       18.34"
"16-May-2016","       19.17"
"17-May-2016","       19.20"
"18-May-2016","       19.16"
"19-May-2016","       18.97"
"20-May-2016","       18.88"
"23-May-2016","       18.74"
"24-May-2016","       20.00"
"25-May-2016","       22.12"
"26-May-2016","       23.37"
"27-May-2016","       23.43"
"30-May-2016","       25.20"
"31-May-2016","       25.35"
"01-Jun-2016","       25.06"
"02-Jun-2016","       25.27"
"03-Jun-2016","       25.43"
"06-Jun-2016","       25.42"
"07-Jun-2016","       25.82"
"08-Jun-2016","       25.82"
"09-Jun-2016","       25.73"
"10-Jun-2016","       25.65"
"13-Jun-2016","       25.31"
"14-Jun-2016","       25.42"
"15-Jun-2016","       25.77"
"16-Jun-2016","       25.42"
"17-Jun-2016","       25.46"
"20-Jun-2016","       25.49"
"21-Jun-2016","       25.35"
"22-Jun-2016","       25.36"
"23-Jun-2016","       25.74"
"24-Jun-2016","       25.07"
"27-Jun-2016","       25.20"
