"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-1997","        0.00","        0.00","        0.00","      878.79","         105645","            0.87"
"02-Jan-1997","        0.00","        0.00","        0.00","      874.94","          80778","            0.35"
"03-Jan-1997","        0.00","        0.00","        0.00","      880.56","         403986","            7.53"
"06-Jan-1997","        0.00","        0.00","        0.00","      893.41","         206590","            1.21"
"07-Jan-1997","        0.00","        0.00","        0.00","      885.06","         109070","            0.41"
"08-Jan-1997","        0.00","        0.00","        0.00","      889.86","         320960","            1.47"
"09-Jan-1997","        0.00","        0.00","        0.00","      907.53","         127826","            0.45"
"10-Jan-1997","        0.00","        0.00","        0.00","      933.81","         208107","            1.00"
"13-Jan-1997","        0.00","        0.00","        0.00","      940.59","         394640","            3.51"
"14-Jan-1997","        0.00","        0.00","        0.00","      945.84","         214286","            2.35"
"15-Jan-1997","        0.00","        0.00","        0.00","      994.38","         351174","            4.31"
"16-Jan-1997","        0.00","        0.00","        0.00","      965.70","         193906","            1.23"
"17-Jan-1997","        0.00","        0.00","        0.00","      949.25","         205980","            2.56"
"20-Jan-1997","        0.00","        0.00","        0.00","      940.62","         224625","            1.81"
"21-Jan-1997","        0.00","        0.00","        0.00","      925.98","          51560","            0.30"
"22-Jan-1997","        0.00","        0.00","        0.00","      931.16","         157443","            1.06"
"24-Jan-1997","        0.00","        0.00","        0.00","      930.63","         140975","            2.77"
"27-Jan-1997","        0.00","        0.00","        0.00","      945.80","          68425","            0.66"
"28-Jan-1997","        0.00","        0.00","        0.00","      945.20","          61702","            0.37"
"29-Jan-1997","        0.00","        0.00","        0.00","      938.21","          50993","            0.46"
"30-Jan-1997","        0.00","        0.00","        0.00","      935.96","          73723","            0.48"
"31-Jan-1997","        0.00","        0.00","        0.00","      922.71","          76380","            0.74"
"03-Feb-1997","        0.00","        0.00","        0.00","      918.44","          46098","            0.29"
"04-Feb-1997","        0.00","        0.00","        0.00","      924.40","          38878","            0.44"
"05-Feb-1997","        0.00","        0.00","        0.00","      930.65","         120243","            1.95"
"06-Feb-1997","        0.00","        0.00","        0.00","      933.99","         225312","            5.39"
"07-Feb-1997","        0.00","        0.00","        0.00","      942.53","          71431","            0.55"
"10-Feb-1997","        0.00","        0.00","        0.00","      945.28","         251447","            6.26"
"11-Feb-1997","        0.00","        0.00","        0.00","      951.00","         161693","            4.15"
"12-Feb-1997","        0.00","        0.00","        0.00","      956.18","         198649","            1.78"
"13-Feb-1997","        0.00","        0.00","        0.00","      959.65","          87733","            0.84"
"14-Feb-1997","        0.00","        0.00","        0.00","      959.22","          51794","            0.49"
"17-Feb-1997","        0.00","        0.00","        0.00","      979.27","         180069","            1.84"
"18-Feb-1997","        0.00","        0.00","        0.00","      981.31","          89037","            1.50"
"19-Feb-1997","        0.00","        0.00","        0.00","      989.48","         100115","            0.94"
"20-Feb-1997","        0.00","        0.00","        0.00","      993.14","          46845","            0.37"
"21-Feb-1997","        0.00","        0.00","        0.00","      977.07","         143468","            3.05"
"24-Feb-1997","        0.00","        0.00","        0.00","      975.10","          68677","            0.55"
"25-Feb-1997","        0.00","        0.00","        0.00","      974.14","          70515","            0.62"
"26-Feb-1997","        0.00","        0.00","        0.00","      979.28","          88459","            0.76"
"27-Feb-1997","        0.00","        0.00","        0.00","      994.40","         117225","            1.10"
"28-Feb-1997","        0.00","        0.00","        0.00","     1046.02","         110550","            1.31"
"01-Mar-1997","        0.00","        0.00","        0.00","     1129.99","         356091","            2.80"
"03-Mar-1997","        0.00","        0.00","        0.00","     1171.29","         467704","            4.47"
"04-Mar-1997","        0.00","        0.00","        0.00","     1167.68","         327388","            2.06"
"05-Mar-1997","        0.00","        0.00","        0.00","     1177.93","         269356","            1.36"
"06-Mar-1997","        0.00","        0.00","        0.00","     1149.44","         327830","            1.93"
"10-Mar-1997","        0.00","        0.00","        0.00","     1119.28","         210142","            2.20"
"11-Mar-1997","        0.00","        0.00","        0.00","     1105.80","         156064","            1.46"
"12-Mar-1997","        0.00","        0.00","        0.00","     1118.74","         117502","            2.77"
"13-Mar-1997","        0.00","        0.00","        0.00","     1124.40","         224331","            4.99"
"14-Mar-1997","        0.00","        0.00","        0.00","     1118.72","         123673","            2.13"
"17-Mar-1997","        0.00","        0.00","        0.00","     1116.02","         107174","            0.56"
"18-Mar-1997","        0.00","        0.00","        0.00","     1096.69","         106529","            0.49"
"19-Mar-1997","        0.00","        0.00","        0.00","     1088.19","         107468","            0.55"
"20-Mar-1997","        0.00","        0.00","        0.00","     1083.39","         210104","            5.34"
"21-Mar-1997","        0.00","        0.00","        0.00","     1080.75","         112722","            1.04"
"25-Mar-1997","        0.00","        0.00","        0.00","     1108.72","          95650","            0.57"
"26-Mar-1997","        0.00","        0.00","        0.00","     1116.08","              0","            0.00"
"27-Mar-1997","        0.00","        0.00","        0.00","     1122.88","         118314","            1.12"
"28-Mar-1997","        0.00","        0.00","        0.00","     1128.79","         112019","            2.01"
"31-Mar-1997","        0.00","        0.00","        0.00","     1049.07","         446440","            4.17"
"01-Apr-1997","        0.00","        0.00","        0.00","     1041.99","         112680","            1.01"
"02-Apr-1997","        0.00","        0.00","        0.00","     1075.58","         162596","            2.81"
"03-Apr-1997","        0.00","        0.00","        0.00","     1105.82","         138773","            2.68"
"04-Apr-1997","        0.00","        0.00","        0.00","     1131.33","         220782","            4.76"
"07-Apr-1997","        0.00","        0.00","        0.00","     1124.23","          94579","            3.27"
