"Date","P/E"
"01-Jan-2016","       19.44"
"04-Jan-2016","       19.19"
"05-Jan-2016","       19.14"
"06-Jan-2016","       19.17"
"07-Jan-2016","       18.90"
"08-Jan-2016","       19.12"
"11-Jan-2016","       18.85"
"12-Jan-2016","       18.79"
"13-Jan-2016","       18.88"
"14-Jan-2016","       19.12"
"15-Jan-2016","       19.15"
"18-Jan-2016","       19.03"
"19-Jan-2016","       18.99"
"20-Jan-2016","       18.90"
"21-Jan-2016","       18.94"
"22-Jan-2016","       19.07"
"25-Jan-2016","       19.10"
"27-Jan-2016","       19.11"
"28-Jan-2016","       19.06"
"29-Jan-2016","       19.47"
"01-Feb-2016","       19.60"
"02-Feb-2016","       19.49"
"03-Feb-2016","       19.28"
"04-Feb-2016","       19.44"
"05-Feb-2016","       19.47"
"08-Feb-2016","       19.07"
"09-Feb-2016","       18.41"
"10-Feb-2016","       18.39"
"11-Feb-2016","       17.89"
"12-Feb-2016","       17.91"
"15-Feb-2016","       18.20"
"16-Feb-2016","       18.07"
"17-Feb-2016","       18.22"
"18-Feb-2016","       18.57"
"19-Feb-2016","       18.74"
"22-Feb-2016","       18.65"
"23-Feb-2016","       18.44"
"24-Feb-2016","       18.21"
"25-Feb-2016","       18.10"
"26-Feb-2016","       18.24"
"29-Feb-2016","       17.92"
"01-Mar-2016","       18.54"
"02-Mar-2016","       18.99"
"03-Mar-2016","       19.27"
"04-Mar-2016","       19.14"
"08-Mar-2016","       19.02"
"09-Mar-2016","       19.04"
"10-Mar-2016","       18.87"
"11-Mar-2016","       18.89"
"14-Mar-2016","       18.94"
"15-Mar-2016","       18.70"
"16-Mar-2016","       18.83"
"17-Mar-2016","       19.04"
"18-Mar-2016","       19.45"
"21-Mar-2016","       19.51"
"22-Mar-2016","       19.53"
"23-Mar-2016","       19.57"
"28-Mar-2016","       19.47"
"29-Mar-2016","       19.37"
"30-Mar-2016","       19.62"
"31-Mar-2016","       19.71"
"01-Apr-2016","       19.51"
"04-Apr-2016","       19.85"
"05-Apr-2016","       19.65"
"06-Apr-2016","       19.57"
"07-Apr-2016","       19.35"
"08-Apr-2016","       19.28"
"11-Apr-2016","       19.68"
"12-Apr-2016","       19.70"
"13-Apr-2016","       19.79"
"18-Apr-2016","       20.08"
"20-Apr-2016","       19.56"
"21-Apr-2016","       19.24"
"22-Apr-2016","       19.16"
"25-Apr-2016","       19.18"
"26-Apr-2016","       19.35"
"27-Apr-2016","       19.41"
"28-Apr-2016","       19.13"
"29-Apr-2016","       18.96"
"02-May-2016","       18.82"
"03-May-2016","       18.50"
"04-May-2016","       18.54"
"05-May-2016","       18.58"
"06-May-2016","       18.43"
"09-May-2016","       18.61"
"10-May-2016","       18.68"
"11-May-2016","       18.56"
"12-May-2016","       18.76"
"13-May-2016","       18.68"
"16-May-2016","       18.78"
"17-May-2016","       18.84"
"18-May-2016","       18.83"
"19-May-2016","       18.79"
"20-May-2016","       18.69"
"23-May-2016","       18.53"
"24-May-2016","       18.51"
"25-May-2016","       19.00"
"26-May-2016","       18.88"
"27-May-2016","       18.97"
"30-May-2016","       19.20"
"31-May-2016","       18.95"
"01-Jun-2016","       19.11"
"02-Jun-2016","       19.05"
"03-Jun-2016","       19.06"
"06-Jun-2016","       18.95"
"07-Jun-2016","       18.98"
"08-Jun-2016","       18.96"
"09-Jun-2016","       18.73"
"10-Jun-2016","       18.67"
"13-Jun-2016","       18.61"
"14-Jun-2016","       18.57"
"15-Jun-2016","       18.76"
"16-Jun-2016","       18.70"
"17-Jun-2016","       18.77"
"20-Jun-2016","       19.13"
"21-Jun-2016","       19.10"
"22-Jun-2016","       19.11"
"23-Jun-2016","       19.10"
"24-Jun-2016","       18.63"
"27-Jun-2016","       18.30"
"28-Jun-2016","       18.10"
"29-Jun-2016","       18.39"
"30-Jun-2016","       18.49"
"01-Jul-2016","       18.45"
"04-Jul-2016","       18.60"
"05-Jul-2016","       18.53"
"07-Jul-2016","       18.19"
"08-Jul-2016","       18.20"
"11-Jul-2016","       18.37"
"12-Jul-2016","       18.39"
