"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Jan-2011","-","-","-","     5108.29","        4195785","          208.45"
"04-Jan-2011","-","-","-","     5166.88","        5886248","          313.20"
"05-Jan-2011","-","-","-","     5172.90","        5003564","          296.95"
"06-Jan-2011","-","-","-","     5167.48","        5502933","          288.05"
"07-Jan-2011","-","-","-","     5056.58","        4183859","          219.69"
"10-Jan-2011","-","-","-","     4944.56","        4201230","          223.67"
"11-Jan-2011","-","-","-","     4936.32","        5362903","          269.26"
"12-Jan-2011","-","-","-","     4971.74","        5056371","          275.44"
"13-Jan-2011","-","-","-","     4940.33","        4475309","          225.59"
"14-Jan-2011","-","-","-","     4906.39","        4715721","          239.26"
"17-Jan-2011","-","-","-","     4877.18","        4634741","          214.38"
"18-Jan-2011","-","-","-","     4956.08","        7763972","          311.05"
"19-Jan-2011","-","-","-","     4925.94","        5877589","          261.81"
"20-Jan-2011","-","-","-","     4925.89","        8056658","          373.83"
"21-Jan-2011","-","-","-","     4916.67","        4703328","          268.11"
"24-Jan-2011","-","-","-","     4908.20","        3736543","          263.98"
"25-Jan-2011","-","-","-","     4835.08","        3842320","          277.56"
"27-Jan-2011","-","-","-","     4703.44","        9502805","          527.04"
"28-Jan-2011","-","-","-","     4659.12","       10039138","          443.99"
"31-Jan-2011","     4633.30","     4700.60","     4593.90","     4689.80","        8490698","          417.91"
"01-Feb-2011","     4705.80","     4723.95","     4598.10","     4629.25","        5790961","          370.04"
"02-Feb-2011","     4643.65","     4672.30","     4603.25","     4630.20","        5623062","          254.74"
"03-Feb-2011","     4618.95","     4662.35","     4605.40","     4640.90","        4922965","          212.66"
"04-Feb-2011","     4637.85","     4679.55","     4557.10","     4573.25","        6773132","          310.72"
"07-Feb-2011","     4550.40","     4558.60","     4490.00","     4500.20","        5803103","          247.24"
"08-Feb-2011","     4541.70","     4541.70","     4411.45","     4427.60","        6750345","          279.35"
"09-Feb-2011","     4422.90","     4466.60","     4354.70","     4373.25","        9354532","          383.43"
"10-Feb-2011","     4358.45","     4419.50","     4356.80","     4393.40","        7895428","          323.76"
"11-Feb-2011","     4387.80","     4437.45","     4367.85","     4428.70","        4377147","          190.17"
"14-Feb-2011","     4436.65","     4525.25","     4432.35","     4515.20","        4611205","          213.00"
"15-Feb-2011","     4520.95","     4553.25","     4449.55","     4498.35","        4467334","          199.43"
"16-Feb-2011","     4485.70","     4552.20","     4433.25","     4451.35","        4267927","          207.54"
"17-Feb-2011","     4458.75","     4500.85","     4437.60","     4477.45","        5523145","          235.16"
"18-Feb-2011","     4479.85","     4518.10","     4456.95","     4463.25","        6440248","          287.28"
"21-Feb-2011","     4460.60","     4507.40","     4427.00","     4497.30","        4625973","          209.41"
"22-Feb-2011","     4489.45","     4489.45","     4432.65","     4458.95","        6059160","          282.16"
"23-Feb-2011","     4459.85","     4472.70","     4418.95","     4426.40","        6249323","          316.41"
"24-Feb-2011","     4412.90","     4422.90","     4274.25","     4300.25","       10849118","          510.99"
"25-Feb-2011","     4337.30","     4368.80","     4300.80","     4328.10","        7225859","          295.12"
"28-Feb-2011","     4338.45","     4404.75","     4317.80","     4331.05","        7068064","          282.29"
"01-Mar-2011","     4334.60","     4481.55","     4334.60","     4473.65","        8783193","          352.25"
"03-Mar-2011","     4458.90","     4485.55","     4425.00","     4456.40","        8573629","          346.98"
"04-Mar-2011","     4481.85","     4499.70","     4438.10","     4446.75","        5779488","          235.48"
"07-Mar-2011","     4433.65","     4438.40","     4375.35","     4427.35","        4257466","          192.60"
"08-Mar-2011","     4440.95","     4472.25","     4432.45","     4447.20","        4465237","          196.80"
"09-Mar-2011","     4451.75","     4466.85","     4394.30","     4425.05","        6081100","          286.90"
"10-Mar-2011","     4424.20","     4424.20","     4386.25","     4395.65","        3933184","          187.67"
"11-Mar-2011","     4384.90","     4429.35","     4345.20","     4386.85","        5449340","          225.10"
"14-Mar-2011","     4381.00","     4428.75","     4364.70","     4419.85","        3764536","          178.99"
"15-Mar-2011","     4379.95","     4401.10","     4307.30","     4346.20","        6075230","          280.97"
"16-Mar-2011","     4359.45","     4426.00","     4359.45","     4408.95","        4312742","          240.49"
"17-Mar-2011","     4377.85","     4417.95","     4363.65","     4385.50","        4368213","          207.62"
"18-Mar-2011","     4405.80","     4417.05","     4331.15","     4340.00","        4930050","          215.81"
"21-Mar-2011","     4352.40","     4368.05","     4336.35","     4344.80","        6084236","          270.89"
"22-Mar-2011","     4347.20","     4397.65","     4347.20","     4389.75","        6559609","          270.71"
"23-Mar-2011","     4396.90","     4473.85","     4393.55","     4462.30","        4686460","          191.66"
"24-Mar-2011","     4469.25","     4495.50","     4454.45","     4463.05","        3923370","          178.09"
"25-Mar-2011","     4501.55","     4501.55","     4468.55","     4480.40","        5661261","          250.56"
"28-Mar-2011","     4477.60","     4500.30","     4426.85","     4441.45","        7869844","          351.29"
"29-Mar-2011","     4433.40","     4481.45","     4422.35","     4469.30","        6425431","          309.37"
