"Date","P/E"
"01-Jan-2020","       25.82"
"02-Jan-2020","       25.84"
"03-Jan-2020","       26.03"
"06-Jan-2020","       25.63"
"07-Jan-2020","       25.78"
"08-Jan-2020","       25.65"
"09-Jan-2020","       25.77"
"10-Jan-2020","       25.85"
"13-Jan-2020","       25.92"
"14-Jan-2020","       26.04"
"15-Jan-2020","       26.20"
"16-Jan-2020","       26.32"
"17-Jan-2020","       26.77"
"20-Jan-2020","       26.53"
"21-Jan-2020","       26.55"
"22-Jan-2020","       26.49"
"23-Jan-2020","       26.63"
"24-Jan-2020","       26.55"
"27-Jan-2020","       26.94"
"28-Jan-2020","       26.65"
"29-Jan-2020","       26.63"
"30-Jan-2020","       26.07"
"31-Jan-2020","       25.76"
"01-Feb-2020","       25.37"
"03-Feb-2020","       25.22"
"04-Feb-2020","       25.71"
"05-Feb-2020","       25.54"
"06-Feb-2020","       25.89"
"07-Feb-2020","       26.06"
"10-Feb-2020","       25.81"
"11-Feb-2020","       26.01"
"12-Feb-2020","       25.82"
"13-Feb-2020","       26.04"
"14-Feb-2020","       26.03"
"17-Feb-2020","       25.34"
"18-Feb-2020","       25.32"
"19-Feb-2020","       25.88"
"20-Feb-2020","       25.83"
"24-Feb-2020","       25.06"
"25-Feb-2020","       24.52"
"26-Feb-2020","       24.21"
"27-Feb-2020","       24.35"
"28-Feb-2020","       23.40"
"02-Mar-2020","       23.27"
"03-Mar-2020","       24.46"
"04-Mar-2020","       24.97"
"05-Mar-2020","       25.16"
"06-Mar-2020","       24.76"
"09-Mar-2020","       23.95"
"11-Mar-2020","       23.54"
"12-Mar-2020","       21.44"
"13-Mar-2020","       22.45"
"16-Mar-2020","       21.49"
"17-Mar-2020","       21.55"
"18-Mar-2020","       20.71"
"19-Mar-2020","       20.55"
"20-Mar-2020","       21.47"
"23-Mar-2020","       19.87"
"24-Mar-2020","       20.42"
"25-Mar-2020","       20.68"
"26-Mar-2020","       20.92"
"27-Mar-2020","       21.04"
"30-Mar-2020","       21.30"
"31-Mar-2020","       22.16"
"01-Apr-2020","       21.70"
"03-Apr-2020","       22.74"
"07-Apr-2020","       25.09"
"08-Apr-2020","       25.98"
"09-Apr-2020","       27.18"
"13-Apr-2020","       27.93"
"15-Apr-2020","       27.92"
"16-Apr-2020","       28.41"
"17-Apr-2020","       28.28"
"20-Apr-2020","       28.26"
"21-Apr-2020","       28.97"
"22-Apr-2020","       28.96"
"23-Apr-2020","       29.00"
"24-Apr-2020","       29.40"
"27-Apr-2020","       29.65"
"28-Apr-2020","       28.99"
"29-Apr-2020","       28.99"
"30-Apr-2020","       28.81"
"04-May-2020","       28.92"
"05-May-2020","       28.36"
"06-May-2020","       28.50"
"07-May-2020","       28.25"
"08-May-2020","       28.86"
"11-May-2020","       28.74"
"12-May-2020","       29.36"
"13-May-2020","       29.04"
"14-May-2020","       29.12"
"15-May-2020","       28.87"
"18-May-2020","       28.91"
"19-May-2020","       28.88"
"20-May-2020","       30.06"
"21-May-2020","       29.46"
"22-May-2020","       29.70"
"26-May-2020","       29.34"
"27-May-2020","       29.28"
"28-May-2020","       29.14"
"29-May-2020","       30.08"
"01-Jun-2020","       30.81"
"02-Jun-2020","       30.91"
"03-Jun-2020","       31.01"
"04-Jun-2020","       31.68"
"05-Jun-2020","       31.20"
"08-Jun-2020","       30.76"
"09-Jun-2020","       31.14"
"10-Jun-2020","       31.22"
"11-Jun-2020","       30.56"
"12-Jun-2020","       30.71"
"15-Jun-2020","       30.73"
